Name,Asset Type,Type,Maintain Customer,Comments,IT Owner,Business Owner,Customer,Product Supplier,Product Vendor,Vendor Support,Description/Use,Business Process,Criticality,Known Risks,DR
Kofax,Enterprise Application,Platform,n/a,,Application Development,COO~ Enterprise Operations ,Unknown,Kofax,Datcom,,Document scanning and management,,Unknown,,,,,,,,,,
Landonline,Enterprise Application,Actor,n/a,Provided by LINZ,N/A,Personal Markets~ Specialist Sales,Unknown,NA,N/A,,"Landonline provides land professionals with secure access to New Zealand's only authoritative titles register and digital cadastre maintained by LINZ. 
Ê
The functionally smart system enables registered users to conduct secure electronic title and survey transactions in real time~ automating and speeding up traditional (and sometimes prolonged and complex) manual processes.
Ê
Landonline is not designed for public access or use. Its survey and title lodgement and registration functions can only be accessed by authenticated~ registered users to ensure the integrity of the titles register and digital cadastre is maintained at all times.
Ê
Kiwibank utilises the e-search function of Landonline~ which connects to LINZ using a verified secure citrix connection.",,Tier 2,,,,,,,,,,
Lexlegal,Enterprise Application,System,Y,"LEX Legal Suite is matter management system (provided by LEX~ an Australian company) that allows the Kiwibank Legal Team to:
- Capture and share the main details of each matter~ such as name~ work type~ client~ background and contacts
 - Track information about each matter~ such as file notes~ reminders~ invoices and time
 - Generate a wide variety of reports~ such as monthly reports and analyses of spending with law firms

",N/A,Legal,Unknown,LEX,Datacom,,"LEX Legal Suite is matter management system (provided by LEX~ an Australian company) that allows the Kiwibank Legal Team to:ÊCapture and share the main details of each matter~ such as name~ work type~ client~ background and contacts
ÊTrack information about each matter~ such as file notes~ reminders~ invoices and time
ÊGenerate a wide variety of reports~ such as monthly reports and analyses of spending with law firms

Installation:
The Lex Legal Suite solution consists of:End user on a workstation with a web browser.AD Group: 'Managed Users Ð Lex Legal Suite UsersÕProxy exception 'lexlegal'Added as a Trusted siteWeb application hosted on a web server.Backend database containing a configuration databaseSharePoint document library
For more information refer to the design documentation.
",,Tier 2,,,,,,,,,,
Mastercard,Enterprise Application,Actor,n/a,,Application Development,COO~ Payment Services ,Unknown,Mastercard,Mastercard,,Kiwibank send and receive Mastercard scheme files on a daily basis; see Mastercard Trans,,Tier 2,,,,,,,,,,
MIS,Enterprise Application,?,?,No information available,Unknown,Business Markets,Unknown,,,,,"Deal Execution (including booking & bill trading)

*Funds Management*",Unknown,,,,,,,,,,
Move-Peripheral,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
Move-Printers,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
Move-Server,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
Multi Purpose Transactions (MPT),Enterprise Application,Desktop Application,n/a,,Technology Operations,COO~ Enterprise Operations ,Unknown,IT,IT,,"An Access DB called MPT resides on a PC in the Ultracs Support area. Its used to create one-off transactions i.e. reverse transactions/fees~ wholesale settlements. The DB has a form for DR and CR details. Only a few people from Support Services have access to this system.
",Daily Settlements,Tier 2,,,,,,,,,,
NCC,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
NzClear,Enterprise Application,Actor,n/a,,Wholesale Application Delivery,Business Markets~ Treasury and Intl Operations,Unknown,Reserve Bank of NZ,Reserve Bank of NZ,Complete,"""NZClear is a RBNZ owned system. NZClear is used for the following tasks:   To view and manage KiwibankÕs ESAS account~ Buy and Sell NZD denominated~ Securities. Issue Kiwibank short dated discounted securities~ Settlement of some of Kiwibank NZD cash obligations~ Holds our portfolio of NZD denominated securities~ Settlement of SBI transactions under 3LC conditions (future state under SBI from early 2012. 3LC can be invoked by Kiwibank or another bank)~ Note: 3LC refers to the use of NZ Clear for file transfer and settlement~ in the event that SWIFT services~ Kiwibanks SWIFT connectivity or RBNZ SWIFT connectivity is unavailable. It is also the only means through which Kiwibank Treasury and support staff can view the Kiwibank ESAS account in real time.  NZ Clear has been enhanced to allow the sending bank to upload interchange files into the NZ Clear system (prior to Cash P or R entered)~ and the receiving bank to download the interchange file (after Cash P or R).  Accordingly~ this provides a solution for both file interchange and settlement.  Operational Processes~ The Interbank Wash-up is an absolute essential~ performed daily between 7.00 am and 8.30 am. Usually takes approx. 1.30 hrs for the Treasury Operations team to settle. Cut-off for NZClear is 8.30am sharp. Treasury Operations team receive a fax and email from EDS with the list of transactions via the banking network. Treasury Operations then use NZClear to enter these transactions. Note: This reflects the current state~ not as it will be under SBI.  Under SBI~ overnight processing is no longer routed through EDS.  Settlement will be on a gross bilateral basis via SWIFT.  The ÒWash-upÓ period will still exist but more so for the banks to attempt to square up their accounts at the Reserve Bank to levels they are happy with rather than the settlement of retail flow based transactions.  There are 6 PCs with a dedicated IP address to the Reserve Bank. Four in the Treasury Operations team~ and two from Wholesale IT. Plus 2 PCs at the Treasury/Treasury Support BCP site on level 12 of Radio New Zealand House. Each PC has its own static IP address to enabled it to pass through the kiwibank firewall to access to reserve Bank NZClear system via a common IP address.""",Collateral Management,Tier 1,,,,,,,,,,
OBRProcessing,Enterprise Application,n/a,n/a,"Open Bank Resolution is a Reserve Bank initiative designed to open the bank for business on the next business day after its temporary closure following an insolvency event or an event that triggered putting it under statutory management.  The bank will be able to provide customers with full or partial access to their accounts and other bank services with little interruption.
During the temporary closure~ customersÕ accounts may be frozen and the Statutory Manager will determine the funds required to meet the bankÕs obligations to the industry.  This amount will be transferred to accounts under the control of the Statutory Manager and the remainder then unfrozen and available to customers the following day.
A condition of registration as a bank (from June 2013) is to be pre-positioned for this funds freeze event if it is required.

Components and Functionality
The OBR process brings together existing functionality~ updates to existing extracts to add additional transaction information and the development of a database. This database~ Tabatha~ will store the extracted transaction information~ calculate funds freeze values and provide update files to the different transaction systems.
",Application Development,Risk Management,Unknown,IT,IT,,"Open Bank Resolution is a Reserve Bank initiative designed to open the bank for business on the next business day after its temporary closure following an insolvency event or an event that triggered putting it under statutory management.Ê The bank will be able to provide customers with full or partial access to their accounts and other bank services with little interruption.
During the temporary closure~ customersÕ accounts may be frozen and the Statutory Manager will determine the funds required to meet the bankÕs obligations to the industry.Ê This amount will be transferred to accounts under the control of the Statutory Manager and the remainder then unfrozen and available to customers the following day.
A condition of registration as a bank (from June 2013) is to be pre-positioned for this funds freeze event if it is required.

Components and Functionality
The OBR process brings together existing functionality~ updates to existing extracts to add additional transaction information and the development of a database. This database~ Tabatha~ will store the extracted transaction information~ calculate funds freeze values and provide update files to the different transaction systems.
An Operations Manual has been developed for this process and will be held securely. The individuals involved in this process will be provided with the relevant portion of the manual during any testing and if this event ever occurs. The complete manual would be available to the GM that co-ordinates such an event and a hard copy will be held by the Risk team in a secure location.
This process will be tested twice yearly? And any updates to the Operations Manual arising from the test will be made. The manual has been created by the Core and Integration Delivery team and will be a joint responsibility between them and the FIST Operational Resilience team.
Key Steps in the Process (Summarised)
1.ÊStatutory Manager appointed/OBR invoked
2.ÊFreeze systems/isolate bank
3.ÊShut down access to Kiwibank systems
4.ÊFreeze VPS
5.ÊPrepare Ultracs for fund freeze
6.ÊRun International processes
7.ÊRun B2K processes
8.ÊRun Treasury/Wholesale processes
9.ÊPerform EOD/Start of Day for Ultracs
10.ÊLoad information into Tabatha
11.ÊCalculate funds freeze and populate output files
12.ÊApply funds freeze
13.ÊPerform reconciliations
14.ÊMove funds to OBR account
15.ÊPerform start of day
16.ÊUnfreeze systems/reopen bank
",,Tier 1,,,,,,,,,,
OnlineSecurity,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
Outlook,Enterprise Application,Platform,n/a,,Technology Operations,COO~ Information Technology,Unknown,,,,,"Deal Execution (including booking & bill trading)

*Funds Management*",Unknown,,,,,,,,,,
Prepaid Application Processing System  (PAPS),Enterprise Application,System,Y,"Kiwibank Payment Services offer a range of prepaid card products:
The Prezzy VISA card is a non-embossed prepaid card that is accepted electronically at all VISA merchants.  Unlike a credit card it must have a credit balance before the customer can use the card. 
The Loaded VISA card is a non-embossed personalised prepaid card that is accepted at all electronic VISA merchants. As with the Prezzy Card and unlike a credit card~ the Loaded card must have a credit balance before it can be used; this card can be reloaded with additional funds over the life of the card.
Note: See VPS under Related Systems which is the new prepaid cards platform for newly issued Prezzy and Loaded cards (from Dec 2011)~ and for all Loaded for Travel and Christmas Visa cards.

PAPS is the repository where application data goes into; Prezzy cards do not feed into PAPS only loaded cards.PAPS selects the status of the application dependant on application information such as identification provided and fees paid.  Once an application is in a particular status~ the application will go to eFunds who return information whether an account has been created or not.

There are three sources for applications (for new Loaded cards~ addition of new cardholders) that exist for PAPS:

Datamail 
Secure Website (https://www.loadedcard.co.nz/) 
Manually directly into PAPS by the Payment Services~ Service Delivery Team
Processing of applications (new~ additional~ supplementary (identification checks)~ website and Sharepoint maintenance) all occur through the web services layer.  As part of the Change Management process~ any changes to PAPS must be flowed into MIS.



",Application Development,COO~ Payment Services ,Unknown,IT,IT,,"Kiwibank Payment Services offer a range of prepaid card products:The Prezzy VISA card is a non-embossed prepaid card that is accepted electronically at all VISA merchants.Ê Unlike a credit card it must have a credit balance before the customer can use the card.The Loaded VISA card is a non-embossed personalised prepaid card that is accepted at all electronic VISA merchants. As with the Prezzy Card and unlike a credit card~ the Loaded card must have a credit balance before it can be used; this card can be reloaded with additional funds over the life of the card.
Note: See VPS under Related SystemsÊwhich isÊthe new prepaid cards platform for newly issued Prezzy and Loaded cards (from Dec 2011)~ and for allÊLoaded for Travel and ChristmasÊVisa cards.
PAPS is the repository where application data goes into;ÊPrezzy cards do not feed into PAPS only loaded cards.
Reload refers to Loaded VISA card.
PAPS selects the status of the application dependant on application information such as identification provided and fees paid.Ê Once an application is in a particular status~ the application will go to eFunds who return information whether an account has been created or not.
There are three sources for applications (for new Loaded cards~ addition of new cardholders) that exist for PAPS:DatamailSecure Website (https://www.loadedcard.co.nz/)Manually directly into PAPS by the Payment Services~ Service Delivery Team
Processing of applications (new~ additional~ supplementary (identification checks)~ website and Sharepoint maintenance) all occur through the web services layer.Ê As part of the Change Management process~ any changes to PAPS must be flowed into MIS.
Customers can submit their paper based applications through the NZ Post network~ all paper based applications are sorted and scanned Datamail~ this scanned data is then sent and captured into PAPS in three daily files. This is achieved using the KiwiBank FDS system.
All internet applications are captured directly by PAPS.
PAPS creates a file containing applications with a certain status~ this file is sent to eFunds to capture the customer and balance details~ eFunds liaise with Eyede to get the cards created and sent to the customer.
Fundamentally~ PAPS provides a number of integration and maintenance services~ comprising the following components:PAPS DatabaseMiddleware web serviceseFunds / Datamail Windows ServicesSharepoint maintenance and query site (http://reloadable)FDS Ð File distribution service (3 times per day)MIS (1 per day)
The PAPS database resides on KBPDSQLCRM01.
The middleware layer resides on 10.4.1.94~ under C:\Program Files\New Zealand Post Financial Services\Middleware Layer\2.0\Ver1.40\WebServices\CBI_2007060 folder
The eFunds and Datamail Windows ServicesÊ reside on fswndntbiz01 (10.4.1.79)~ under C:\Program Files\New Zealand Post Financial Services\PAPS\Datamail Listener
C:\Program Files\New Zealand Post Financial Services\PAPS\EFunds Handler folders
The basic sharepoint site resides on kbpdspoint02;Ê kbpdsqlcrm01 is also used for the storage of sharepoint configuration~ asp.net customisation and so on.
The Datamail files are transferred to Kiwibank via the KB FDS. The files are automatically transferred from FDS to PAPs for processing.",,Tier 2,,,,,,,,,,
Pharos,Enterprise Application,Actor,N,Pharos is the internal name given to the NZ Post shared services Financial Management Information System (FMIS) that is used across the NZPost group.,N/A,Finance~ Shared Accounting,Unknown,Oracle,Oracle,,"Pharos is the internal name given to the NZ Post shared services Financial Management Information System (FMIS) that is used across the NZPost group.
 
The system is runs on version 8.4 of the Oracle Peoplesoft ERP solution.
 
It is used extensively by Kiwibank Finance and other business units for corporate accounting (general ledger~ accounts payable~ fixed assets) and reporting.  
 
Both TMS and Ultracs produce Journal extract files for daily upload to Pharos to establish the banks financial position.  
 
The Kiwibank HR/Payroll system will also produce a Journal file for salary payments. 
",General Ledger,Tier 2,,,,,,,,,,
Pluralsight,Enterprise Application,?,?,No information available,Application Delivery,COO,Unknown,Pluralsight,Pluralsight,,Developer training,,Unknown,,,,,,,,,,
Postilion Office,Enterprise Application,Reporting System,n/a,Postilion Office supports reconciliation & management functions by retrieving data from the Postilion Real-time database and organising it so that complex queries can be run,Application Development,COO~ Payment Services ,COO,ACI Worldwide Inc,ACI Worldwide Inc,,Payment processing engine. Realtime Switching and logging of all ATM and Eftpos transactions.Ê,Assess~ Authorise & Pay claims for Kiwi Insurance.,Tier 2,,,,,,,,,,
